spare_ref_ID,product_ref_ID
550e8400-e29b-41d4-a716-446655444001,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444001,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444001,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444001,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444001,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655444001,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655444001,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655444002,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444002,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444002,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444002,550e8400-e29b-41d4-a716-446655440013
550e8400-e29b-41d4-a716-446655444002,550e8400-e29b-41d4-a716-446655440014
550e8400-e29b-41d4-a716-446655444003,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444003,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444003,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444003,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444004,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444004,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444004,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444004,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655444004,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655444005,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444005,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444005,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444005,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444006,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444006,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444006,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444006,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444007,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444007,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444007,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444007,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444008,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444008,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444008,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444008,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444009,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444009,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444009,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444009,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444010,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444010,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444010,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444010,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444011,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444011,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444011,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444011,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444012,550e8400-e29b-41d4-a716-446655440006
550e8400-e29b-41d4-a716-446655444012,550e8400-e29b-41d4-a716-446655440007
550e8400-e29b-41d4-a716-446655444012,550e8400-e29b-41d4-a716-446655440008
550e8400-e29b-41d4-a716-446655444013,550e8400-e29b-41d4-a716-446655440001
550e8400-e29b-41d4-a716-446655444013,550e8400-e29b-41d4-a716-446655440002
550e8400-e29b-41d4-a716-446655444013,550e8400-e29b-41d4-a716-446655440003
550e8400-e29b-41d4-a716-446655444013,550e8400-e29b-41d4-a716-446655440004
550e8400-e29b-41d4-a716-446655444013,550e8400-e29b-41d4-a716-446655440005
550e8400-e29b-41d4-a716-446655444014,550e8400-e29b-41d4-a716-446655440009
550e8400-e29b-41d4-a716-446655444014,550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655444014,550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655444014,550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655444015,550e8400-e29b-41d4-a716-446655440009
