product_ref_ID,attachment_ref_ID
550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655445001
550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655445001
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655445001
550e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655445001
550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655445002
550e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655445003
550e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655445003
550e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655445003
550e8400-e29b-41d4-a716-446655440017,550e8400-e29b-41d4-a716-446655445004
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655445005
550e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655445005
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655445006
550e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655445006
550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655445007
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655445007
550e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655445007
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655445008
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655445009
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655445009
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655445009
550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655445009
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655445010
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655445010
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655445010
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655445011
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655445011
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655445011
550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655445011
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655445012
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655445012
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655445012
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655445013
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655445013
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655445013
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655445014
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655445014
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655445014
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655445015
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655445015
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655445015
