ID,quantity,requestType,rentalDuration,startDate,endDate,unitPrice,estimatedAmount,proposals_ID,product_ID
760e8400-e29b-41d4-a716-446655447001,2,RENTAL,90,2026-03-01,2026-05-29,95000.00,190000.00,650e8400-e29b-41d4-a716-446655449001,550e8400-e29b-41d4-a716-446655440001
760e8400-e29b-41d4-a716-446655447002,1,RENTAL,90,2026-03-01,2026-05-29,95000.00,95000.00,650e8400-e29b-41d4-a716-446655449001,550e8400-e29b-41d4-a716-446655440006
760e8400-e29b-41d4-a716-446655447003,2,RENTAL,60,2026-03-10,2026-05-08,140000.00,280000.00,650e8400-e29b-41d4-a716-446655449002,550e8400-e29b-41d4-a716-446655440009
760e8400-e29b-41d4-a716-446655447004,1,RENTAL,60,2026-03-10,2026-05-08,90000.00,90000.00,650e8400-e29b-41d4-a716-446655449002,550e8400-e29b-41d4-a716-446655440012
760e8400-e29b-41d4-a716-446655447005,1,RENTAL,45,2026-03-15,2026-04-28,180000.00,180000.00,650e8400-e29b-41d4-a716-446655449003,550e8400-e29b-41d4-a716-446655449003
760e8400-e29b-41d4-a716-446655447006,1,RENTAL,45,2026-03-15,2026-04-28,165000.00,165000.00,650e8400-e29b-41d4-a716-446655449003,550e8400-e29b-41d4-a716-446655440013
760e8400-e29b-41d4-a716-446655447007,1,RENTAL,30,2026-03-20,2026-04-18,120000.00,120000.00,650e8400-e29b-41d4-a716-446655449004,550e8400-e29b-41d4-a716-446655440002
760e8400-e29b-41d4-a716-446655447008,1,RENTAL,30,2026-03-20,2026-04-18,75000.00,75000.00,650e8400-e29b-41d4-a716-446655449004,550e8400-e29b-41d4-a716-446655440018
760e8400-e29b-41d4-a716-446655447009,2,RENTAL,90,2026-04-01,2026-06-29,210000.00,420000.00,650e8400-e29b-41d4-a716-446655449005,550e8400-e29b-41d4-a716-446655440007
760e8400-e29b-41d4-a716-446655447010,1,RENTAL,90,2026-04-01,2026-06-29,180000.00,180000.00,650e8400-e29b-41d4-a716-446655449005,550e8400-e29b-41d4-a716-446655440015
760e8400-e29b-41d4-a716-446655447011,2,RENTAL,120,2026-04-05,2026-08-02,400000.00,800000.00,650e8400-e29b-41d4-a716-446655449006,550e8400-e29b-41d4-a716-446655440015
760e8400-e29b-41d4-a716-446655447012,1,RENTAL,120,2026-04-05,2026-08-02,225000.00,225000.00,650e8400-e29b-41d4-a716-446655449006,550e8400-e29b-41d4-a716-446655440017
760e8400-e29b-41d4-a716-446655447013,1,RENTAL,60,2026-04-10,2026-06-08,190000.00,190000.00,650e8400-e29b-41d4-a716-446655449007,550e8400-e29b-41d4-a716-446655449007
760e8400-e29b-41d4-a716-446655447014,1,RENTAL,60,2026-04-10,2026-06-08,155000.00,155000.00,650e8400-e29b-41d4-a716-446655449007,550e8400-e29b-41d4-a716-446655440020
760e8400-e29b-41d4-a716-446655447015,1,RENTAL,75,2026-04-15,2026-06-28,260000.00,260000.00,650e8400-e29b-41d4-a716-446655449008,550e8400-e29b-41d4-a716-446655440009
760e8400-e29b-41d4-a716-446655447016,1,RENTAL,75,2026-04-15,2026-06-28,175000.00,175000.00,650e8400-e29b-41d4-a716-446655449008,550e8400-e29b-41d4-a716-446655440011
760e8400-e29b-41d4-a716-446655447017,1,RENTAL,60,2026-04-20,2026-06-18,190000.00,190000.00,650e8400-e29b-41d4-a716-446655449009,550e8400-e29b-41d4-a716-446655440016
760e8400-e29b-41d4-a716-446655447018,1,RENTAL,60,2026-04-20,2026-06-18,160000.00,160000.00,650e8400-e29b-41d4-a716-446655449009,550e8400-e29b-41d4-a716-446655440015
760e8400-e29b-41d4-a716-446655447019,1,RENTAL,30,2026-05-01,2026-05-30,185000.00,185000.00,650e8400-e29b-41d4-a716-446655449010,550e8400-e29b-41d4-a716-446655440003
760e8400-e29b-41d4-a716-446655447020,1,RENTAL,30,2026-05-01,2026-05-30,140000.00,140000.00,650e8400-e29b-41d4-a716-446655449010,550e8400-e29b-41d4-a716-446655440019
760e8400-e29b-41d4-a716-446655447021,2,RENTAL,30,2026-10-01,2026-10-20,140000.00,280000.00,650e8400-e29b-41d4-a716-446655449020,
