Prod_ref_ID,Machine_ref_ID
550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655443004
550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655443006
550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655443004
550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655443006
550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655443006
550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655443007
550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655443003
550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655443011
550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655443003
550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655443011
550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655443005
550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655443007
550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655443005
550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655443015
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655443005
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655443015
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655443001
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655443003
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655443006
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655443001
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655443003
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655443001
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655443006
550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655443001
550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655443014
550e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655443008
550e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655443012
550e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655443008
550e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655443012
550e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655443010
550e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655443015
550e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655443002
550e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655443004
550e8400-e29b-41d4-a716-446655440017,550e8400-e29b-41d4-a716-446655443010
550e8400-e29b-41d4-a716-446655440017,550e8400-e29b-41d4-a716-446655443002
550e8400-e29b-41d4-a716-446655440018,550e8400-e29b-41d4-a716-446655443009
550e8400-e29b-41d4-a716-446655440018,550e8400-e29b-41d4-a716-446655443013
550e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655443002
550e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655443009
550e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655443012
550e8400-e29b-41d4-a716-446655440020,550e8400-e29b-41d4-a716-446655443005
550e8400-e29b-41d4-a716-446655440020,550e8400-e29b-41d4-a716-446655443007
 
